machine,test,level,name,npe,real,comm_avg,speed
MareNostrum 5,mpi-circle,14,refine,3584,18.0387,16.6161,529469.0
MareNostrum 5,mpi-circle,14,restriction,112,1.65179e-06,0.0,5782170000000.0
MareNostrum 5,mpi-circle,14,restriction,224,2.05804e-06,0.0,4640790000000.0
MareNostrum 5,mpi-circle,14,restriction,448,5.30804e-06,0.0,1799330000000.0
MareNostrum 5,mpi-circle,14,restriction,896,4.71094e-06,0.0,2027390000000.0
MareNostrum 5,mpi-circle,14,restriction,1792,2.18192e-06,0.0,4377300000000.0
MareNostrum 5,mpi-circle,14,restriction,3584,2.55552e-06,0.0,3737360000000.0
MareNostrum 5,mpi-circle,14,sum,112,0.001788,0.0,5341670000.0
MareNostrum 5,mpi-circle,14,sum,224,0.000448582,0.0,21291300000.0
MareNostrum 5,mpi-circle,14,sum,448,0.000173408,0.0,55077800000.0
MareNostrum 5,mpi-circle,14,sum,896,4.38676e-05,0.0,217721000000.0
MareNostrum 5,mpi-circle,14,sum,1792,8.77753e-05,0.0,108811000000.0
MareNostrum 5,mpi-circle,14,sum,3584,4.25468e-05,0.0,224480000000.0
MareNostrum 5,mpi-laplacian,6,cos,2,0.0032705,4.30213e-06,80154100.0
MareNostrum 5,mpi-laplacian,6,laplacian,2,0.002202,0.000163754,119048000.0
MareNostrum 5,mpi-laplacian,6,poisson,2,0.022456,0.00145466,11673700.0
MareNostrum 5,mpi-laplacian,6,refine,2,0.115888,0.0311527,2262050.0
MareNostrum 5,mpi-laplacian,6,restriction,2,0.0010145,0.000100807,258397000.0
MareNostrum 5,mpi-laplacian,6,sum,2,0.0006445,0.0,406740000.0
MareNostrum 5,mpi-laplacian,7,cos,112,0.000790729,0.000230543,2652180000.0
MareNostrum 5,mpi-laplacian,7,laplacian,112,0.00108665,0.000538219,1929920000.0
MareNostrum 5,mpi-laplacian,7,poisson,112,0.0275769,0.020768,76047500.0
MareNostrum 5,mpi-laplacian,7,refine,112,0.515454,0.413468,4068550.0
MareNostrum 5,mpi-laplacian,7,restriction,112,0.000249104,0.000170477,8418800000.0
MareNostrum 5,mpi-laplacian,7,sum,112,0.000335202,0.0,6256390000.0
MareNostrum 5,mpi-laplacian,8,cos,112,0.0165222,0.00886181,1015430000.0
MareNostrum 5,mpi-laplacian,8,cos,224,0.00624073,0.00255216,2688340000.0
MareNostrum 5,mpi-laplacian,8,cos,448,0.00264702,0.00111218,6338150000.0
MareNostrum 5,mpi-laplacian,8,cos,896,0.000702115,0.000137197,23895300000.0
MareNostrum 5,mpi-laplacian,8,cos,1792,0.000465864,0.000199598,36013100000.0
MareNostrum 5,mpi-laplacian,8,laplacian,112,0.0145875,0.00430564,1150110000.0
MareNostrum 5,mpi-laplacian,8,laplacian,224,0.00777307,0.00260698,2158380000.0
MareNostrum 5,mpi-laplacian,8,laplacian,448,0.00353719,0.00142661,4743100000.0
MareNostrum 5,mpi-laplacian,8,laplacian,896,0.0010993,0.000609223,15261700000.0
MareNostrum 5,mpi-laplacian,8,laplacian,1792,0.000480039,0.000326801,34949700000.0
MareNostrum 5,mpi-laplacian,8,poisson,112,0.146499,0.0399631,114521000.0
