machine,pts,level,npe,cells,steps,t,real,per_step,speed,u
Snellius,256,12,8,16777216,2253,0.05,27887.7,12.3780292942743,1355400.0,0.895182
Snellius,256,12,16,16777216,2253,0.05,15059.0,6.683976919662672,2510060.0,0.895182
Snellius,256,12,32,16777216,2253,0.05,8373.12,3.7164314247669776,4514340.0,0.895182
Snellius,256,12,64,16777216,2253,0.05,4941.33,2.1932223701731024,7649580.0,0.895182
Snellius,256,12,128,16777216,2253,0.05,3615.28,1.6046515756768753,10455400.0,0.895182
Snellius,256,12,256,16777216,2253,0.05,1570.66,0.6971415889924545,24065800.0,0.894972
Snellius,256,12,512,16777216,22310,0.5,7568.26,0.3392317346481399,49456500.0,0.995358
Snellius,256,12,1024,16777216,22310,0.5,2491.73,0.11168668758404303,150217000.0,0.995358
Snellius,512,13,32,67108864,6350,0.05,91008.5,14.332047244094488,4682430.0,0.89574
Snellius,512,13,64,67108864,6350,0.05,58427.0,9.201102362204724,7293570.0,0.89574
Snellius,512,13,128,67108864,6350,0.05,42205.5,6.646535433070866,10096800.0,0.89574
Snellius,512,13,256,67108864,6350,0.05,19644.3,3.0935905511811024,21692800.0,0.895482
Snellius,512,13,512,67108864,6350,0.05,10988.8,1.73051968503937,38779500.0,0.895481
Snellius,512,13,1024,67108864,6350,0.05,5117.9,0.8059685039370078,83264900.0,0.895485
