test,level,name,npe,real,comm_avg,speed
mpi-laplacian,9,cos,1024,0.00735539,0.00103388,18247500000.0
mpi-laplacian,9,cos,1792,0.00472927,0.000960102,28380200000.0
mpi-laplacian,9,cos,2048,0.00539979,0.00231733,24856100000.0
mpi-laplacian,9,cos,3584,0.002938,0.0013889,45683400000.0
mpi-laplacian,9,cos,4096,0.00244115,0.00123662,54981400000.0
mpi-laplacian,9,cos,8192,0.00181959,0.00132425,73762800000.0
mpi-laplacian,9,cos,16384,0.00171436,0.00149023,78290300000.0
mpi-laplacian,9,laplacian,16,0.234531,0.0423684,572282000.0
mpi-laplacian,9,laplacian,32,0.141013,0.0254718,951810000.0
mpi-laplacian,9,laplacian,64,0.0965286,0.0128643,1390440000.0
mpi-laplacian,9,laplacian,112,0.096092,0.0205537,1396760000.0
mpi-laplacian,9,laplacian,128,0.0506901,0.00878661,2647810000.0
mpi-laplacian,9,laplacian,224,0.0506793,0.0123055,2648370000.0
mpi-laplacian,9,laplacian,256,0.0333634,0.00671393,4022910000.0
mpi-laplacian,9,laplacian,448,0.0269486,0.00752187,4980520000.0
mpi-laplacian,9,laplacian,512,0.0204296,0.00489788,6569770000.0
mpi-laplacian,9,laplacian,896,0.0145794,0.00480387,9205980000.0
mpi-laplacian,9,laplacian,1024,0.0110597,0.00320858,12135800000.0
mpi-laplacian,9,laplacian,1792,0.0078507,0.00288635,17096300000.0
mpi-laplacian,9,laplacian,2048,0.00589482,0.0019599,22768700000.0
mpi-laplacian,9,laplacian,3584,0.00358088,0.00158916,37481800000.0
mpi-laplacian,9,laplacian,4096,0.00232167,0.000997174,57810800000.0
mpi-laplacian,9,laplacian,8192,0.000873249,0.000575382,153699000000.0
mpi-laplacian,9,laplacian,16384,0.000504965,0.000389533,265796000000.0
mpi-laplacian,9,poisson,16,2.46887,0.279733,54364000.0
mpi-laplacian,9,poisson,32,1.51994,0.175357,88304600.0
mpi-laplacian,9,poisson,64,1.10651,0.158518,121298000.0
mpi-laplacian,9,poisson,112,1.05273,0.192549,127495000.0
mpi-laplacian,9,poisson,128,0.551339,0.0757194,243440000.0
mpi-laplacian,9,poisson,224,0.560739,0.134231,239358000.0
mpi-laplacian,9,poisson,256,0.36061,0.0656994,372196000.0
mpi-laplacian,9,poisson,448,0.284437,0.0713793,471872000.0
mpi-laplacian,9,poisson,512,0.218921,0.0534052,613088000.0
mpi-laplacian,9,poisson,896,0.156635,0.0494447,856880000.0
mpi-laplacian,9,poisson,1024,0.133327,0.048516,1006680000.0
mpi-laplacian,9,poisson,1792,0.0898152,0.0358751,1494380000.0
mpi-laplacian,9,poisson,2048,0.0673929,0.0235615,1991570000.0
mpi-laplacian,9,poisson,3584,0.0595361,0.0339475,2254390000.0
mpi-laplacian,9,poisson,4096,0.0475172,0.0282157,2824610000.0
mpi-laplacian,9,poisson,8192,0.0775282,0.0591799,1731210000.0
mpi-laplacian,9,poisson,16384,0.0869545,0.0699261,1543540000.0
mpi-laplacian,9,refine,16,11.2644,1.96596,11915300.0
mpi-laplacian,9,refine,32,4.9982,1.63567,26853200.0
mpi-laplacian,9,refine,64,3.57372,1.81634,37556900.0
mpi-laplacian,9,refine,112,6.49179,3.13927,20675000.0
mpi-laplacian,9,refine,128,1.83711,0.996204,73059100.0
mpi-laplacian,9,refine,224,3.70262,1.92505,36249400.0
mpi-laplacian,9,refine,256,1.48427,1.02504,90426600.0
mpi-laplacian,9,refine,448,3.01076,2.01844,44579400.0
mpi-laplacian,9,refine,512,1.73667,1.42022,77284400.0
mpi-laplacian,9,refine,896,3.88496,3.13756,34548000.0
mpi-laplacian,9,refine,1024,3.15609,2.79416,42526500.0
mpi-laplacian,9,refine,1792,8.03494,7.21244,16704300.0
mpi-laplacian,9,refine,2048,6.49504,6.00293,20664700.0
mpi-laplacian,9,refine,3584,19.9291,18.6586,6734750.0
mpi-laplacian,9,refine,4096,20.03,19.1335,6700830.0
mpi-laplacian,9,refine,8192,100.238,97.2718,1338990.0
mpi-laplacian,9,refine,16384,242.133,237.087,554314.0
mpi-laplacian,9,restriction,16,0.166467,0.0310863,806271000.0
mpi-laplacian,9,restriction,32,0.098962,0.0255477,1356260000.0
mpi-laplacian,9,restriction,64,0.0488716,0.00633438,2746330000.0
mpi-laplacian,9,restriction,112,0.0507424,0.0149136,2645080000.0
mpi-laplacian,9,restriction,128,0.025251,0.00401765,5315340000.0
mpi-laplacian,9,restriction,224,0.0296749,0.0116129,4522940000.0
mpi-laplacian,9,restriction,256,0.0164516,0.00344795,8158310000.0
mpi-laplacian,9,restriction,448,0.0138549,0.0046966,9687380000.0
mpi-laplacian,9,restriction,512,0.0105134,0.00307253,12766300000.0
mpi-laplacian,9,restriction,896,0.00776601,0.00329256,17282700000.0
mpi-laplacian,9,restriction,1024,0.00608177,0.00251255,22068800000.0
mpi-laplacian,9,restriction,1792,0.00480587,0.00264375,27927900000.0
mpi-laplacian,9,restriction,2048,0.00403911,0.00232052,33229500000.0
mpi-laplacian,9,restriction,3584,0.00233017,0.00191232,57600100000.0
mpi-laplacian,9,restriction,4096,0.00140798,0.00120461,95326600000.0
mpi-laplacian,9,restriction,8192,0.000507586,0.000456549,264424000000.0
mpi-laplacian,9,restriction,16384,0.000241099,0.000225369,556691000000.0
mpi-laplacian,9,sum,16,0.126293,0.0,1062750000.0
mpi-laplacian,9,sum,32,0.0750494,0.0,1788390000.0
mpi-laplacian,9,sum,64,0.0367873,0.0,3648480000.0
mpi-laplacian,9,sum,112,0.0482718,0.0,2780460000.0
mpi-laplacian,9,sum,128,0.0189204,0.0,7093810000.0
mpi-laplacian,9,sum,224,0.0187803,0.0,7146740000.0
mpi-laplacian,9,sum,256,0.0120926,0.0,11099200000.0
mpi-laplacian,9,sum,448,0.0131815,0.0,10182300000.0
mpi-laplacian,9,sum,512,0.00722882,0.0,18567000000.0
mpi-laplacian,9,sum,896,0.00489489,0.0,27420000000.0
mpi-laplacian,9,sum,1024,0.00389987,0.0,34415900000.0
mpi-laplacian,9,sum,1792,0.00253668,0.0,52910800000.0
mpi-laplacian,9,sum,2048,0.0022538,0.0,59551600000.0
mpi-laplacian,9,sum,3584,0.00136357,0.0,98430900000.0
mpi-laplacian,9,sum,4096,0.000724161,0.0,185342000000.0
mpi-laplacian,9,sum,8192,0.00128368,0.0,104557000000.0
mpi-laplacian,9,sum,16384,0.00113262,0.0,118502000000.0
mpi-laplacian-2d,12,cos,2,0.223874,0.000279699,74940400.0
mpi-laplacian-2d,12,cos,4,0.095895,0.00834061,174954000.0
mpi-laplacian-2d,12,cos,8,0.034789,5.02028e-05,482256000.0
mpi-laplacian-2d,12,cos,16,0.0178401,0.000248021,940420000.0
mpi-laplacian-2d,12,cos,32,0.00955241,0.000197351,1756330000.0
mpi-laplacian-2d,12,cos,64,0.0093168,0.0028636,1800750000.0
mpi-laplacian-2d,12,cos,128,0.00337288,0.000202383,4974150000.0
mpi-laplacian-2d,12,cos,256,0.00278987,0.000818449,6013630000.0
mpi-laplacian-2d,12,cos,512,0.00142882,0.000695021,11742000000.0
mpi-laplacian-2d,12,cos,1024,0.000593939,0.000286431,28247400000.0
mpi-laplacian-2d,12,cos,2048,0.000239004,8.39721e-05,70196500000.0
mpi-laplacian-2d,12,cos,4096,0.000206099,0.000126242,81403800000.0
mpi-laplacian-2d,12,cos,8192,0.00127919,0.00123857,13115500000.0
mpi-laplacian-2d,12,cos,16384,0.00129468,0.00127463,12958500000.0
mpi-laplacian-2d,12,laplacian,2,0.0686635,0.00111234,244340000.0
mpi-laplacian-2d,12,laplacian,4,0.059175,0.0106425,283519000.0
mpi-laplacian-2d,12,laplacian,8,0.0187945,0.000392011,892666000.0
mpi-laplacian-2d,12,laplacian,16,0.0112162,0.000366934,1495800000.0
mpi-laplacian-2d,12,laplacian,32,0.00817634,0.000316324,2051920000.0
mpi-laplacian-2d,12,laplacian,64,0.00679423,0.000356791,2469330000.0
mpi-laplacian-2d,12,laplacian,128,0.00318073,0.000218484,5274640000.0
mpi-laplacian-2d,12,laplacian,256,0.00174293,0.000165813,9625850000.0
mpi-laplacian-2d,12,laplacian,512,0.00027715,6.28945e-05,60534800000.0
mpi-laplacian-2d,12,laplacian,1024,0.000111139,3.35617e-05,150957000000.0
mpi-laplacian-2d,12,laplacian,2048,6.36683e-05,2.84279e-05,263510000000.0
mpi-laplacian-2d,12,laplacian,4096,4.14361e-05,2.38446e-05,404894000000.0
mpi-laplacian-2d,12,laplacian,8192,0.000107685,9.84033e-05,155799000000.0
mpi-laplacian-2d,12,laplacian,16384,0.000127977,0.000123061,131096000000.0
mpi-laplacian-2d,12,poisson,2,1.09183,0.037834,15366200.0
mpi-laplacian-2d,12,poisson,4,0.514594,0.0071952,32602800.0
mpi-laplacian-2d,12,poisson,8,0.33428,0.0226558,50189100.0
mpi-laplacian-2d,12,poisson,16,0.150281,0.00451168,111639000.0
mpi-laplacian-2d,12,poisson,32,0.106975,0.0040954,156833000.0
mpi-laplacian-2d,12,poisson,64,0.0931767,0.00615609,180058000.0
mpi-laplacian-2d,12,poisson,128,0.0396888,0.00299475,422719000.0
mpi-laplacian-2d,12,poisson,256,0.0217764,0.0031398,770430000.0
mpi-laplacian-2d,12,poisson,512,0.011821,0.00449707,1419270000.0
mpi-laplacian-2d,12,poisson,1024,0.00375852,0.00223445,4463780000.0
mpi-laplacian-2d,12,poisson,2048,0.00328318,0.00251082,5110060000.0
mpi-laplacian-2d,12,poisson,4096,0.00341421,0.00272793,4913940000.0
mpi-laplacian-2d,12,poisson,8192,0.0144491,0.00934653,1161130000.0
mpi-laplacian-2d,12,poisson,16384,0.0162057,0.0101893,1035260000.0
mpi-laplacian-2d,12,refine,1,8.58732,1.01489e-05,1953720.0
mpi-laplacian-2d,12,refine,2,3.68818,0.360442,4548920.0
mpi-laplacian-2d,12,refine,4,1.62992,0.191945,10293300.0
mpi-laplacian-2d,12,refine,8,0.740678,0.117765,22651200.0
mpi-laplacian-2d,12,refine,16,0.379189,0.0793742,44245000.0
mpi-laplacian-2d,12,refine,32,0.216777,0.0586685,77394000.0
mpi-laplacian-2d,12,refine,64,0.165363,0.0764798,101457000.0
mpi-laplacian-2d,12,refine,128,0.204758,0.155184,81936800.0
mpi-laplacian-2d,12,refine,256,0.161016,0.128004,104196000.0
mpi-laplacian-2d,12,refine,512,0.279482,0.251145,60029600.0
mpi-laplacian-2d,12,refine,1024,0.623507,0.587552,26907800.0
mpi-laplacian-2d,12,refine,2048,1.43664,1.36777,11678100.0
mpi-laplacian-2d,12,refine,4096,3.51855,3.39616,4768220.0
mpi-laplacian-2d,12,refine,8192,74.4591,73.966,225321.0
mpi-laplacian-2d,12,refine,16384,191.794,190.975,87475.2
mpi-laplacian-2d,12,restriction,2,0.106068,0.000586555,158173000.0
mpi-laplacian-2d,12,restriction,4,0.050706,0.00137097,330872000.0
mpi-laplacian-2d,12,restriction,8,0.0192,0.000947903,873813000.0
mpi-laplacian-2d,12,restriction,16,0.0105479,0.000535199,1590580000.0
mpi-laplacian-2d,12,restriction,32,0.00736837,0.000731726,2276920000.0
mpi-laplacian-2d,12,restriction,64,0.00631327,0.00123062,2657450000.0
mpi-laplacian-2d,12,restriction,128,0.00274906,0.000405821,6102890000.0
mpi-laplacian-2d,12,restriction,256,0.0017609,0.000469296,9527650000.0
mpi-laplacian-2d,12,restriction,512,0.000549255,0.000411699,30545400000.0
mpi-laplacian-2d,12,restriction,1024,7.37676e-05,5.51088e-05,227433000000.0
mpi-laplacian-2d,12,restriction,2048,2.74914e-05,2.32806e-05,610271000000.0
mpi-laplacian-2d,12,restriction,4096,1.68465e-05,1.54607e-05,995889000000.0
mpi-laplacian-2d,12,restriction,8192,1.79824e-05,1.74057e-05,932981000000.0
mpi-laplacian-2d,12,restriction,16384,1.34804e-05,1.31789e-05,1244560000000.0
mpi-laplacian-2d,12,sum,2,0.049246,0.0,340682000.0
mpi-laplacian-2d,12,sum,4,0.027179,0.0,617286000.0
mpi-laplacian-2d,12,sum,8,0.0132192,0.0,1269150000.0
mpi-laplacian-2d,12,sum,16,0.00737456,0.0,2275010000.0
mpi-laplacian-2d,12,sum,32,0.00488869,0.0,3431840000.0
mpi-laplacian-2d,12,sum,64,0.00403028,0.0,4162790000.0
mpi-laplacian-2d,12,sum,128,0.00201559,0.0,8323740000.0
mpi-laplacian-2d,12,sum,256,0.00123332,0.0,13603200000.0
mpi-laplacian-2d,12,sum,512,0.000582992,0.0,28777800000.0
mpi-laplacian-2d,12,sum,1024,0.000189169,0.0,88688800000.0
mpi-laplacian-2d,12,sum,2048,0.000123933,0.0,135373000000.0
mpi-laplacian-2d,12,sum,4096,0.00011756,0.0,142713000000.0
mpi-laplacian-2d,12,sum,8192,0.00105981,0.0,15830400000.0
mpi-laplacian-2d,12,sum,16384,0.00142291,0.0,11790800000.0
mpi-laplacian-2d,14,cos,32,0.285354,0.0204528,940709000.0
mpi-laplacian-2d,14,cos,64,0.134309,0.0251292,1998650000.0
mpi-laplacian-2d,14,cos,128,0.0749628,0.0210945,3580920000.0
mpi-laplacian-2d,14,cos,256,0.0402233,0.00711751,6673630000.0
mpi-laplacian-2d,14,cos,512,0.0199325,0.000682352,13467200000.0
mpi-laplacian-2d,14,cos,1024,0.0139455,0.00438085,19248800000.0
mpi-laplacian-2d,14,cos,2048,0.00749404,0.00261988,35819800000.0
mpi-laplacian-2d,14,cos,4096,0.00375863,0.00128287,71418500000.0
mpi-laplacian-2d,14,cos,8192,0.00193302,0.00117387,138868000000.0
mpi-laplacian-2d,14,cos,16384,0.00170497,0.00138817,157443000000.0
mpi-laplacian-2d,14,laplacian,32,0.130458,0.00303479,2057640000.0
mpi-laplacian-2d,14,laplacian,64,0.110813,0.00488819,2422420000.0
mpi-laplacian-2d,14,laplacian,128,0.0540162,0.00114054,4969540000.0
mpi-laplacian-2d,14,laplacian,256,0.0345912,0.00110993,7760220000.0
mpi-laplacian-2d,14,laplacian,512,0.0203735,0.000785969,13175700000.0
mpi-laplacian-2d,14,laplacian,1024,0.0101965,0.000532176,26326400000.0
mpi-laplacian-2d,14,laplacian,2048,0.00514542,0.000356487,52169800000.0
mpi-laplacian-2d,14,laplacian,4096,0.00229949,0.000218703,116737000000.0
mpi-laplacian-2d,14,laplacian,8192,0.000345667,0.000120612,776573000000.0
mpi-laplacian-2d,14,laplacian,16384,0.000185626,0.000107236,1446110000000.0
mpi-laplacian-2d,14,poisson,32,2.02485,0.251327,132571000.0
mpi-laplacian-2d,14,poisson,64,1.57199,0.163112,170761000.0
mpi-laplacian-2d,14,poisson,128,0.742719,0.0140964,361422000.0
mpi-laplacian-2d,14,poisson,256,0.466765,0.0155328,575098000.0
mpi-laplacian-2d,14,poisson,512,0.273881,0.0106919,980116000.0
mpi-laplacian-2d,14,poisson,1024,0.139711,0.0100907,1921360000.0
mpi-laplacian-2d,14,poisson,2048,0.0679266,0.00689207,3951850000.0
mpi-laplacian-2d,14,poisson,4096,0.0310135,0.00526083,8655440000.0
mpi-laplacian-2d,14,poisson,8192,0.0199775,0.0106266,13436900000.0
mpi-laplacian-2d,14,poisson,16384,0.0163898,0.0100601,16378200000.0
mpi-laplacian-2d,14,refine,32,6.86508,0.558648,39101600.0
mpi-laplacian-2d,14,refine,64,2.67897,0.463918,100201000.0
mpi-laplacian-2d,14,refine,128,1.18386,0.342336,226746000.0
mpi-laplacian-2d,14,refine,256,0.700357,0.282114,383283000.0
mpi-laplacian-2d,14,refine,512,0.603886,0.368697,444514000.0
mpi-laplacian-2d,14,refine,1024,0.88022,0.733276,304964000.0
mpi-laplacian-2d,14,refine,2048,1.54526,1.40857,173715000.0
