machine,ndrops,level,npe,cells,steps,t,real,per_step,speed,u
MareNostrum 5,32,11,128,4194304,636,0.05,187.315,0.2945204402515723,14241100.0,0.554296
MareNostrum 5,32,11,256,4194304,636,0.05,75.1767,0.11820235849056603,35484100.0,0.568098
MareNostrum 5,32,11,512,4194304,636,0.05,31.864,0.05010062893081761,83717600.0,0.568484
MareNostrum 5,32,11,1024,4194304,636,0.05,27.3769,0.04304544025157232,97438900.0,0.575916
Snellius,1,10,2,1048576,292,0.05,837.116,2.866835616438356,365761.0,0.68949
Snellius,1,10,4,1048576,292,0.05,377.787,1.2937910958904109,810467.0,0.68949
Snellius,1,10,8,1048576,292,0.05,145.515,0.4983390410958904,2104150.0,0.68949
Snellius,1,10,16,1048576,292,0.05,53.3494,0.18270342465753425,5739230.0,0.689491
Snellius,1,10,32,1048576,292,0.05,27.7361,0.09498664383561645,11039200.0,0.689491
Snellius,1,10,64,1048576,292,0.05,15.28,0.05232876712328767,20038200.0,0.689491
Snellius,1,10,128,1048576,292,0.05,9.27833,0.03177510273972603,32999900.0,0.689491
Snellius,1,10,256,1048576,292,0.05,6.12004,0.02095904109589041,50029800.0,0.689467
Snellius,1,10,512,1048576,292,0.05,5.11496,0.01751698630136986,59860500.0,0.689463
Snellius,1,10,1024,1048576,292,0.05,5.37708,0.018414657534246575,56942500.0,0.689493
Snellius,2,10,2,1048576,387,0.05,1097.81,2.83671834625323,369644.0,0.678705
Snellius,2,10,4,1048576,387,0.05,508.286,1.3134005167958656,798368.0,0.678604
Snellius,2,10,8,1048576,387,0.05,195.729,0.5057596899224807,2073270.0,0.678605
Snellius,2,10,16,1048576,387,0.05,73.5485,0.19004780361757106,5517440.0,0.678601
Snellius,2,10,32,1048576,387,0.05,38.3329,0.0990514211886305,10586200.0,0.678637
Snellius,2,10,64,1048576,387,0.05,21.1405,0.0546266149870801,19195300.0,0.678642
Snellius,2,10,128,1048576,387,0.05,13.1753,0.03404470284237726,30800100.0,0.678334
Snellius,2,10,256,1048576,387,0.05,9.13293,0.023599302325581394,44432500.0,0.678318
Snellius,2,10,512,1048576,387,0.05,7.29694,0.01885514211886305,55612200.0,0.678351
Snellius,2,10,1024,1048576,387,0.05,7.8868,0.020379328165374678,51453000.0,0.678342
Snellius,4,10,2,1048576,387,0.05,1101.78,2.8469767441860463,368311.0,0.671422
Snellius,4,10,4,1048576,387,0.05,502.343,1.298043927648579,807813.0,0.671422
Snellius,4,10,8,1048576,387,0.05,195.501,0.505170542635659,2075680.0,0.671421
Snellius,4,10,16,1048576,387,0.05,75.8833,0.1960808785529716,5347670.0,0.671422
Snellius,4,10,32,1048576,387,0.05,39.7814,0.10279431524547802,10200700.0,0.671376
Snellius,4,10,64,1048576,387,0.05,21.5582,0.05570594315245478,18823400.0,0.671372
Snellius,4,10,128,1048576,387,0.05,13.2436,0.03422118863049096,30641000.0,0.671049
Snellius,4,10,256,1048576,387,0.05,8.807,0.022757105943152455,46076900.0,0.67103
Snellius,4,10,512,1048576,387,0.05,7.39825,0.019116925064599482,54850700.0,0.671067
Snellius,4,10,1024,1048576,387,0.05,7.86684,0.020327751937984497,51583500.0,0.671063
Snellius,8,10,2,1048576,462,0.05,1448.14,3.1345021645021647,334526.0,0.621128
Snellius,8,10,4,1048576,462,0.05,662.0,1.432900432900433,731786.0,0.62339
Snellius,8,10,8,1048576,462,0.05,258.326,0.5591471861471862,1875310.0,0.625395
Snellius,8,10,16,1048576,462,0.05,97.779,0.21164285714285713,4954460.0,0.63156
Snellius,8,10,32,1048576,462,0.05,51.5623,0.11160670995670996,9395280.0,0.631528
Snellius,8,10,64,1048576,462,0.05,27.7903,0.0601521645021645,17432000.0,0.631566
Snellius,8,10,128,1048576,462,0.05,16.8372,0.03644415584415584,28772200.0,0.63086
Snellius,8,10,256,1048576,462,0.05,11.5738,0.02505151515151515,41856900.0,0.63499
Snellius,8,10,512,1048576,462,0.05,9.33496,0.020205541125541127,51895400.0,0.635068
Snellius,8,10,1024,1048576,462,0.05,9.95252,0.021542251082251083,48675300.0,0.635199
Snellius,16,11,2,4194304,527,0.05,7024.83,13.329848197343454,314655.0,0.626514
Snellius,16,11,4,4194304,527,0.05,3470.59,6.5855597722960155,636895.0,0.626535
Snellius,16,11,8,4194304,527,0.05,1696.32,3.2188235294117646,1303060.0,0.626537
Snellius,16,11,16,4194304,527,0.05,808.909,1.534931688804554,2732570.0,0.626541
Snellius,16,11,32,4194304,527,0.05,430.137,0.8161992409867173,5138820.0,0.626561
Snellius,16,11,64,4194304,527,0.05,214.456,0.40693738140417457,10307000.0,0.626601
Snellius,16,11,128,4194304,527,0.05,160.0,0.3036053130929791,13815000.0,0.632332
Snellius,16,11,256,4194304,527,0.05,50.8184,0.09642960151802656,43496000.0,0.630423
Snellius,16,11,512,4194304,527,0.05,24.0212,0.04558102466793169,92018600.0,0.632051
Snellius,16,11,1024,4194304,527,0.05,19.4045,0.03682068311195446,113911000.0,0.634267
Snellius,32,11,2,4194304,636,0.05,8803.22,13.841540880503144,303023.0,0.552612
Snellius,32,11,4,4194304,636,0.05,4162.68,6.545094339622642,640832.0,0.552455
Snellius,32,11,8,4194304,636,0.05,2160.47,3.396965408805031,1234720.0,0.552664
Snellius,32,11,16,4194304,636,0.05,1025.11,1.6118081761006289,2602240.0,0.552085
Snellius,32,11,32,4194304,636,0.05,551.364,0.8669245283018868,4838140.0,0.551575
Snellius,32,11,64,4194304,636,0.05,276.354,0.43451886792452826,9652750.0,0.551549
Snellius,32,11,128,4194304,636,0.05,209.815,0.32989779874213837,12714000.0,0.554296
Snellius,32,11,256,4194304,636,0.05,69.5108,0.1092937106918239,38376400.0,0.568098
Snellius,32,11,512,4194304,636,0.05,31.2791,0.049180974842767296,85283100.0,0.568483
Snellius,32,11,1024,4194304,636,0.05,24.6587,0.03877154088050314,108180000.0,0.575916
