machine,case,level,nx,npe,cells,steps,t,real,per_step,speed
Snellius,taylorculick-uniform,10,1024,96,1048576,10,0.0398124,0.459514,0.045951399999999996,22819200.0
Snellius,taylorculick-uniform,10,1024,192,1048576,10,0.0398124,0.230606,0.0230606,45470500.0
Snellius,taylorculick-uniform,10,1024,384,1048576,10,0.0398124,0.141485,0.0141485,74112200.0
Snellius,taylorculick-uniform,10,1024,768,1048576,10,0.0398124,0.127229,0.0127229,82416400.0
Snellius,taylorculick-uniform,11,2048,8,4194304,10,0.0140758,19.0052,1.9005199999999998,2206920.0
Snellius,taylorculick-uniform,11,2048,32,4194304,10,0.0140758,5.7843,0.57843,7251180.0
Snellius,taylorculick-uniform,11,2048,96,4194304,10,0.0140758,2.65726,0.265726,15784300.0
Snellius,taylorculick-uniform,11,2048,192,4194304,10,0.0140758,1.61794,0.161794,25923700.0
Snellius,taylorculick-uniform,11,2048,384,4194304,10,0.0140758,0.578768,0.05787679999999999,72469500.0
Snellius,taylorculick-uniform,11,2048,768,4194304,10,0.0140758,0.341211,0.0341211,122924000.0
Snellius,ve3d-impact-uniform,7,128,2,2097152,10,0.0131586,107.764,10.776399999999999,194606.0
Snellius,ve3d-impact-uniform,7,128,8,2097152,10,0.0131586,28.3337,2.83337,740162.0
Snellius,ve3d-impact-uniform,7,128,32,2097152,10,0.0131581,9.4445,0.94445,2220500.0
Snellius,ve3d-impact-uniform,7,128,96,2097152,10,0.0131594,5.13639,0.513639,4082930.0
Snellius,ve3d-impact-uniform,7,128,192,2097152,10,0.0131602,3.31423,0.33142299999999997,6327720.0
